시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,,부상자수,199,69,18,3,6,4,38,117,2,28,31,56,13,2,,,10,1,,,232,76,19,3,7,6,41,148,13,44,24,67,8,,,,7,1,228,56,37,1,4,2,12,161,15,105,19,22,11,,,,9,2,,,257,70,46,6,10,4,4,177,,3,135,31,8,10,4,,,3,,,3,,,223,62,22,8,4,9,19,152,,2,101,28,21,9,,,,5,4,,,
,,중상자수,86,47,13,2,2,3,27,34,1,6,7,20,5,0,,,5,0,,,115,53,17,3,3,3,27,55,5,18,5,27,7,,,,7,0,100,44,29,1,2,2,10,49,6,34,3,6,7,,,,6,1,,,109,49,37,3,3,3,3,53,,1,45,6,1,7,2,,,2,,,3,,,71,34,14,2,3,5,10,32,,1,21,5,5,5,,,,3,2,,,
,,경상자수,96,20,5,1,3,1,10,69,1,21,21,26,7,2,,,5,0,,,103,20,2,0,4,3,11,83,7,23,17,36,0,,,,0,0,99,10,7,0,1,0,2,86,7,52,16,11,3,,,,3,0,,,133,18,7,3,6,1,1,112,,2,79,24,7,3,2,,,1,,,0,,,123,23,6,4,0,4,9,97,,1,64,21,11,3,,,,1,2,,,
,,부상신고자수,17,2,0,0,1,0,1,14,0,1,3,10,1,0,,,0,1,,,14,3,0,0,0,0,3,10,1,3,2,4,1,,,,0,1,29,2,1,0,1,0,0,26,2,19,0,5,1,,,,0,1,,,15,3,2,0,1,0,0,12,,0,11,1,0,0,0,,,0,,,0,,,29,5,2,2,1,0,0,23,,0,16,2,5,1,,,,1,0,,,
,남구,사고건수,150,58,19,5,,4,30,85,2,33,15,35,7,2,,,5,,,,142,55,28,3,1,,23,82,8,27,11,36,5,,,,2,3,153,60,41,2,5,,12,89,15,36,9,29,4,1,,,3,,,,167,54,34,,8,4,8,107,1,5,73,22,6,6,1,,,3,2,,,,,167,51,24,4,6,4,13,112,,4,80,18,10,4,,,,3,1,,,
,,사망자수,3,2,1,1,,0,0,1,0,1,0,0,0,0,,,0,,,,5,3,1,1,0,,1,2,0,1,0,1,0,,,,0,0,3,3,3,0,0,,0,0,0,0,0,0,0,0,,,0,,,,7,4,3,,0,0,1,3,0,0,2,1,0,0,0,,,0,0,,,,,5,2,1,0,0,0,1,3,,0,2,1,0,0,,,,0,0,,,
,,부상자수,156,56,18,4,,4,30,93,2,38,15,38,7,2,,,5,,,,144,52,27,2,1,,22,87,8,27,13,39,5,,,,2,3,157,60,41,2,5,,12,93,16,37,10,30,4,1,,,3,,,,168,51,31,,9,4,7,111,1,5,76,23,6,6,1,,,3,2,,,,,177,50,24,4,6,4,12,123,,5,86,20,12,4,,,,3,1,,,
,,중상자수,75,38,14,3,,4,17,32,2,8,6,16,5,1,,,4,,,,64,33,17,1,1,,14,28,4,10,3,11,3,,,,2,1,74,42,31,2,2,,7,30,4,14,1,11,2,0,,,2,,,,66,30,20,,4,1,5,32,0,1,20,9,2,4,1,,,1,2,,,,,61,28,18,2,1,0,7,32,,2,24,2,4,1,,,,1,0,,,
,,경상자수,75,17,4,1,,0,12,56,0,28,9,19,2,1,,,1,,,,74,18,9,1,0,,8,54,3,16,9,26,2,,,,0,2,74,17,9,0,3,,5,55,9,20,9,17,2,1,,,1,,,,87,20,11,,5,2,2,65,1,4,43,14,3,2,0,,,2,0,,,,,104,22,6,2,5,4,5,80,,3,54,17,6,2,,,,2,0,,,
,,부상신고자수,6,1,0,0,,0,1,5,0,2,0,3,0,0,,,0,,,,6,1,1,0,0,,0,5,1,1,1,2,0,,,,0,0,9,1,1,0,0,,0,8,3,3,0,2,0,0,,,0,,,,15,1,0,,0,1,0,14,0,0,13,0,1,0,0,,,0,0,,,,,12,0,0,0,0,0,0,11,,0,8,1,2,1,,,,0,1,,,
,북구,사고건수,313,110,46,5,7,6,46,188,4,59,44,81,15,4,,,11,,,,386,134,62,4,9,6,53,235,22,97,30,86,17,2,,1,10,4,341,110,70,5,6,5,24,223,5,141,42,35,8,1,,,5,2,,,376,106,71,8,5,2,20,260,,8,176,39,37,10,1,,,6,1,,2,,,387,116,47,6,2,5,56,257,2,3,143,40,69,14,3,,,9,2,,,
,,사망자수,8,4,4,0,0,0,0,4,0,1,2,1,0,0,,,0,,,,10,5,3,0,0,0,2,5,1,3,1,0,0,0,,0,0,0,17,11,6,1,1,1,2,6,1,4,1,0,0,0,,,0,0,,,10,6,4,0,0,0,2,4,,0,4,0,0,0,0,,,0,0,,0,,,13,7,5,0,0,1,1,5,0,0,1,0,4,1,0,,,1,0,,,
,,부상자수,316,106,42,5,7,6,46,194,4,61,46,83,16,5,,,11,,,,401,133,61,4,9,8,51,251,24,106,29,92,17,2,,1,10,4,346,101,66,4,5,4,22,235,6,145,49,35,10,3,,,5,2,,,397,101,68,8,5,2,18,283,,8,185,53,37,13,1,,,9,1,,2,,,412,110,42,6,2,4,56,289,2,3,159,50,75,13,3,,,8,2,,,
,,중상자수,143,66,28,2,2,4,30,66,3,25,9,29,11,3,,,8,,,,179,84,43,1,6,5,29,83,12,38,3,30,12,0,,1,7,4,150,73,52,3,3,1,14,73,4,46,12,11,4,1,,,2,1,,,185,70,49,6,3,2,10,107,,4,73,15,15,8,0,,,7,0,,1,,,162,71,26,4,2,3,36,86,1,2,53,8,22,5,0,,,5,0,,,
,,경상자수,148,37,13,3,4,2,15,108,1,29,35,43,3,1,,,2,,,,184,44,17,2,2,3,20,137,9,55,23,50,3,1,,0,2,0,170,23,10,1,2,3,7,141,2,89,33,17,6,2,,,3,1,,,181,25,16,2,1,0,6,155,,2,97,37,19,1,0,,,1,0,,0,,,205,36,16,2,0,1,17,165,0,1,81,40,43,4,1,,,2,1,,,
,,부상신고자수,25,3,1,0,1,0,1,20,0,7,2,11,2,1,,,1,,,,38,5,1,1,1,0,2,31,3,13,3,12,2,1,,0,1,0,26,5,4,0,0,0,1,21,0,10,4,7,0,0,,,0,0,,,31,6,3,0,1,0,2,21,,2,15,1,3,4,1,,,1,1,,1,,,45,3,0,0,0,0,3,38,1,0,25,2,10,4,2,,,1,1,,,
,수성구,사고건수,284,117,34,4,8,12,59,153,,42,33,78,14,,,,13,1,,,286,110,56,5,10,10,29,160,11,85,31,33,16,4,,,11,1,246,79,46,1,9,3,20,155,13,94,26,22,12,,,,9,3,,,331,93,72,1,10,4,6,225,3,32,129,49,12,13,4,,,8,,,1,,,338,103,49,9,11,6,28,218,,10,105,70,33,17,2,,,14,1,,,
,,사망자수,11,11,6,1,0,1,3,0,,0,0,0,0,,,,0,0,,,12,10,9,0,0,0,1,2,0,1,0,1,0,0,,,0,0,11,10,8,1,0,0,1,1,0,1,0,0,0,,,,0,0,,,13,6,5,0,0,1,0,6,0,0,4,1,1,1,1,,,0,,,0,,,10,7,6,0,0,0,1,3,,0,3,0,0,0,0,,,0,0,,,
,,부상자수,283,106,28,3,8,11,56,163,,43,37,83,14,,,,13,1,,,291,101,47,5,10,11,28,174,13,89,38,34,16,4,,,11,1,252,71,38,0,11,3,19,169,13,104,29,23,12,,,,9,3,,,341,90,69,1,10,4,6,239,3,33,133,58,12,12,3,,,8,,,1,,,352,98,45,9,11,6,27,235,,11,109,80,35,19,3,,,15,1,,,
,,중상자수,147,78,22,3,5,9,39,59,,15,16,28,10,,,,10,0,,,136,65,33,4,5,7,16,64,8,36,7,13,7,2,,,5,0,111,51,31,0,7,2,11,50,7,31,8,4,10,,,,8,2,,,134,55,44,1,5,2,3,72,0,7,44,14,7,7,1,,,5,,,1,,,143,64,31,6,8,4,15,69,,3,34,18,14,10,0,,,10,0,,,
,,경상자수,123,27,5,0,3,2,17,93,,25,18,50,3,,,,3,0,,,128,34,13,1,5,4,11,87,2,41,30,14,7,1,,,5,1,122,18,6,0,4,1,7,103,5,65,18,15,1,,,,1,0,,,168,30,21,0,4,2,3,134,3,22,69,36,4,4,1,,,3,,,0,,,177,29,12,3,3,2,9,145,,7,62,59,17,3,1,,,1,1,,,
,,부상신고자수,13,1,1,0,0,0,0,11,,3,3,5,1,,,,0,1,,,27,2,1,0,0,0,1,23,3,12,1,7,2,1,,,1,0,19,2,1,0,0,0,1,16,1,8,3,4,1,,,,0,1,,,39,5,4,0,1,0,0,33,0,4,20,8,1,1,1,,,0,,,0,,,32,5,2,0,0,0,3,21,,1,13,3,4,6,2,,,4,0,,,
,달서구,사고건수,359,132,42,8,5,5,72,209,2,79,45,83,18,1,,,16,1,,,384,136,54,3,3,10,66,231,18,61,56,96,17,3,,,14,,400,145,96,,,6,43,243,5,136,46,56,12,3,,,5,4,,,403,154,92,12,2,8,40,243,,5,149,39,50,6,1,,,4,,,1,,,423,130,62,12,3,7,46,284,2,8,168,51,55,9,1,,,7,,1,,
,,사망자수,7,5,1,0,0,0,4,2,0,2,0,0,0,0,,,0,0,,,10,5,3,0,0,0,2,5,1,0,0,4,0,0,,,0,,9,3,3,,,0,0,5,0,4,0,1,1,0,,,1,0,,,6,5,3,0,0,0,2,1,,0,0,1,0,0,0,,,0,,,0,,,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,0,,
,,부상자수,363,129,42,8,5,5,69,216,2,80,46,88,18,1,,,16,1,,,398,132,52,3,3,10,64,249,22,63,64,100,17,3,,,14,,419,142,93,,,6,43,265,6,149,50,60,12,3,,,5,4,,,418,150,90,12,2,8,38,262,,5,164,43,50,6,1,,,4,,,1,,,455,127,60,12,3,7,45,318,3,10,189,57,59,10,1,,,8,,1,,
,,중상자수,165,75,29,7,2,3,34,78,1,26,13,38,12,0,,,11,1,,,144,82,39,3,3,6,31,54,1,12,17,24,8,1,,,7,,167,84,60,,,5,19,77,0,43,13,21,6,1,,,3,2,,,173,92,58,9,0,4,21,78,,1,47,11,19,3,0,,,3,,,0,,,162,80,39,7,0,4,30,79,0,3,44,11,21,3,0,,,3,,0,,
,,경상자수,179,50,12,1,3,2,32,124,1,53,29,41,5,0,,,5,0,,,222,44,11,0,0,4,29,171,19,45,44,63,7,1,,,6,,230,52,31,,,0,21,172,6,101,34,31,6,2,,,2,2,,,221,53,30,3,1,4,15,165,,4,106,31,24,3,1,,,1,,,1,,,261,44,19,5,3,3,14,212,3,5,126,44,34,5,1,,,3,,1,,
,,부상신고자수,19,4,1,0,0,0,3,14,0,1,4,9,1,1,,,0,0,,,32,6,2,0,0,0,4,24,2,6,3,13,2,1,,,1,,22,6,2,,,1,3,16,0,5,3,8,0,0,,,0,0,,,24,5,2,0,1,0,2,19,,0,11,1,7,0,0,,,0,,,0,,,32,3,2,0,0,0,1,27,0,2,19,2,4,2,0,,,2,,0,,
,달성군,사고건수,169,39,15,1,,3,20,120,9,47,23,41,10,3,,,4,3,,,134,34,22,1,2,1,8,90,9,43,31,7,10,4,,3,3,,145,42,30,2,3,1,6,93,10,55,16,12,10,,,,4,6,,,142,35,21,,1,,13,100,1,26,33,13,27,7,1,,,2,4,,,,,132,33,13,2,,1,17,92,1,2,30,15,44,7,2,,,5,,,,
,,사망자수,14,7,4,1,,0,2,5,1,0,1,3,2,2,,,0,0,,,14,7,6,0,0,0,1,4,0,2,1,1,3,0,,2,1,,6,4,4,0,0,0,0,1,0,1,0,0,1,,,,0,1,,,11,3,2,,0,,1,7,0,2,4,1,0,1,0,,,0,1,,,,,4,3,1,0,,1,1,0,0,0,0,0,0,1,1,,,0,,,,
,,부상자수,178,32,11,0,,3,18,136,9,61,26,40,10,3,,,4,3,,,130,27,16,1,2,1,7,94,10,44,33,7,9,6,,1,2,,163,40,27,3,3,1,6,114,13,67,22,12,9,,,,4,5,,,144,32,19,,1,,12,106,1,25,35,15,30,6,1,,,2,3,,,,,149,32,13,2,,0,17,110,1,3,34,19,53,7,1,,,6,,,,
,,중상자수,76,24,8,0,,1,15,48,3,16,9,20,4,0,,,3,1,,,58,20,14,1,2,1,2,31,4,16,9,2,7,5,,1,1,,92,26,17,2,3,0,4,62,8,37,12,5,4,,,,2,2,,,66,26,16,,1,,9,37,1,9,14,7,6,3,0,,,1,2,,,,,67,28,11,2,,0,15,34,0,0,10,6,18,5,0,,,5,,,,
,,경상자수,84,8,3,0,,2,3,72,3,39,14,16,4,2,,,0,2,,,65,7,2,0,0,0,5,56,5,24,22,5,2,1,,0,1,,67,14,10,1,0,1,2,49,5,28,9,7,4,,,,2,2,,,72,4,2,,0,,2,65,0,15,19,8,23,3,1,,,1,1,,,,,74,3,2,0,,0,1,70,1,3,24,13,29,1,1,,,0,,,,
,,부상신고자수,18,0,0,0,,0,0,16,3,6,3,4,2,1,,,1,0,,,7,0,0,0,0,0,0,7,1,4,2,0,0,0,,0,0,,4,0,0,0,0,0,0,3,0,2,1,0,1,,,,0,1,,,6,2,1,,0,,1,4,0,1,2,0,1,0,0,,,0,0,,,,,8,1,0,0,,0,1,6,0,0,0,0,6,1,0,,,1,,,,
인천,합계,사고건수,978,397,137,41,18,13,188,536,27,193,121,195,45,3,,,41,1,,,1106,483,197,50,34,36,166,562,52,241,145,124,61,13,,1,41,6,1023,424,212,35,23,19,135,558,30,247,148,133,41,2,,1,32,6,,,964,387,240,51,17,14,65,537,7,28,302,141,59,40,3,,,29,4,,4,,,975,401,177,53,29,20,122,531,5,26,264,120,116,43,7,,3,30,2,1,,
,,사망자수,52,36,16,4,2,1,13,15,1,8,0,6,1,1,,,0,0,,,47,33,19,6,1,1,6,11,2,6,1,2,3,1,,0,0,2,47,30,18,4,1,4,3,14,4,6,2,2,3,0,,0,1,2,,,37,22,17,4,0,0,1,13,0,1,9,3,0,2,0,,,0,0,,2,,,42,28,17,3,0,1,7,9,0,3,3,1,2,5,1,,1,2,0,1,,
,,부상자수,990,363,123,37,16,12,175,581,27,206,138,210,46,3,,,42,1,,,1141,459,181,46,33,35,164,622,53,269,169,131,60,13,,1,41,5,1044,402,199,33,22,15,133,603,29,262,174,138,39,2,,1,32,4,,,997,369,226,48,17,14,64,589,7,36,329,155,62,39,3,,,30,4,,2,,,1015,380,162,50,29,19,120,586,5,28,288,139,126,49,8,,2,28,11,0,,
,,중상자수,486,254,93,27,8,7,119,213,10,78,39,86,19,1,,,18,0,,,553,305,129,32,19,24,101,221,21,99,46,55,27,3,,1,18,5,467,252,132,23,11,9,77,192,11,89,46,46,23,2,,1,16,4,,,471,248,166,26,7,12,37,204,1,19,125,36,23,19,1,,,14,3,,1,,,456,246,119,37,15,12,63,191,2,11,108,29,41,19,4,,1,13,1,0,,
,,경상자수,469,96,28,9,8,5,46,349,13,124,97,115,24,2,,,21,1,,,549,142,48,12,12,11,59,375,31,158,115,71,32,9,,0,23,0,540,139,60,10,11,6,52,388,14,164,126,84,13,0,,0,13,0,,,489,110,53,22,9,2,24,360,6,16,186,114,38,19,2,,,15,1,,1,,,499,119,41,11,13,7,47,359,3,17,163,106,70,21,4,,1,14,2,0,,
,,부상신고자수,35,13,2,1,0,0,10,19,4,4,2,9,3,0,,,3,0,,,39,12,4,2,2,0,4,26,1,12,8,5,1,1,,0,0,0,37,11,7,0,0,0,4,23,4,9,2,8,3,0,,0,3,0,,,37,11,7,0,1,0,3,25,0,1,18,5,1,1,0,,,1,0,,0,,,60,15,2,2,1,0,10,36,0,0,17,4,15,9,0,,0,1,8,0,,
,중구,사고건수,51,19,7,4,1,2,5,31,,11,10,10,1,,,,1,,,,65,21,10,2,1,1,7,40,5,13,12,10,4,1,,,2,1,42,18,9,1,,1,7,22,1,8,7,6,2,,,1,,1,,,57,16,15,1,,,,39,,,29,9,1,2,,,,1,,,1,,,64,26,9,4,1,2,10,35,,3,21,5,6,3,,,,3,,,,
,,사망자수,3,2,1,0,1,0,0,1,,1,0,0,0,,,,0,,,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,1,0,0,0,,0,0,1,0,0,1,0,0,,,0,,0,,,0,0,0,0,,,,0,,,0,0,0,0,,,,0,,,0,,,5,1,0,0,0,0,1,3,,1,1,1,0,1,,,,1,,,,
,,부상자수,54,17,6,4,0,2,5,36,,12,12,12,1,,,,1,,,,70,21,11,3,1,1,5,45,6,17,12,10,4,1,,,2,1,45,19,10,1,,1,7,24,1,9,8,6,2,,,1,,1,,,61,16,15,1,,,,43,,,33,9,1,2,,,,1,,,1,,,70,28,9,4,1,2,12,40,,3,25,5,7,2,,,,2,,,,
,,중상자수,26,12,6,2,0,1,3,14,,4,6,4,0,,,,0,,,,30,14,6,2,1,1,4,15,1,7,3,4,1,0,,,0,1,19,9,4,1,,1,3,8,1,2,2,3,2,,,1,,1,,,19,9,8,1,,,,8,,,7,0,1,2,,,,1,,,1,,,35,20,9,4,1,2,4,13,,1,8,2,2,2,,,,2,,,,
,,경상자수,26,5,0,2,0,1,2,20,,7,6,7,1,,,,1,,,,33,5,3,1,0,0,1,25,5,7,8,5,3,1,,,2,0,24,9,6,0,,0,3,15,0,7,6,2,0,,,0,,0,,,38,7,7,0,,,,31,,,23,8,0,0,,,,0,,,0,,,33,8,0,0,0,0,8,25,,2,16,3,4,0,,,,0,,,,
,,부상신고자수,2,0,0,0,0,0,0,2,,1,0,1,0,,,,0,,,,7,2,2,0,0,0,0,5,0,3,1,1,0,0,,,0,0,2,1,0,0,,0,1,1,0,0,0,1,0,,,0,,0,,,4,0,0,0,,,,4,,,3,1,0,0,,,,0,,,0,,,2,0,0,0,0,0,0,2,,0,1,0,1,0,,,,0,,,,
,동구,사고건수,21,14,6,3,1,,4,7,,3,2,2,,,,,,,,,23,16,6,2,1,,7,7,2,4,,1,,,,,,,24,12,6,,,,6,11,1,3,2,5,1,,,,1,,,,27,15,13,2,,,,11,,,7,4,,1,,,,,1,,,,,35,20,10,3,1,1,5,14,,,8,3,3,1,,,,1,,,,
,,사망자수,3,0,0,0,0,,0,3,,1,0,2,,,,,,,,,4,2,1,0,0,,1,2,1,1,,0,,,,,,,2,2,1,,,,1,0,0,0,0,0,0,,,,0,,,,1,1,1,0,,,,0,,,0,0,,0,,,,,0,,,,,2,1,1,0,0,0,0,1,,,1,0,0,0,,,,0,,,,
,,부상자수,18,14,6,3,1,,4,4,,2,2,0,,,,,,,,,19,14,5,2,1,,6,5,1,3,,1,,,,,,,23,10,5,,,,5,12,2,3,2,5,1,,,,1,,,,26,14,12,2,,,,11,,,7,4,,1,,,,,1,,,,,34,19,9,3,1,1,5,14,,,7,3,4,1,,,,1,,,,
,,중상자수,12,11,4,3,1,,3,1,,0,1,0,,,,,,,,,15,12,5,2,0,,5,3,0,2,,1,,,,,,,13,7,4,,,,3,6,0,1,2,3,0,,,,0,,,,15,11,10,1,,,,4,,,3,1,,0,,,,,0,,,,,19,12,8,1,1,0,2,6,,,5,0,1,1,,,,1,,,,
,,경상자수,6,3,2,0,0,,1,3,,2,1,0,,,,,,,,,3,2,0,0,1,,1,1,0,1,,0,,,,,,,10,3,1,,,,2,6,2,2,0,2,1,,,,1,,,,10,2,1,1,,,,7,,,4,3,,1,,,,,1,,,,,11,6,1,1,0,1,3,5,,,2,2,1,0,,,,0,,,,
,,부상신고자수,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,1,0,0,0,0,,0,1,1,0,,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,,,,0,,,,1,1,1,0,,,,0,,,0,0,,0,,,,,0,,,,,4,1,0,1,0,0,0,3,,,0,1,2,0,,,,0,,,,
,남구,사고건수,157,80,27,9,1,,43,67,4,21,15,27,10,,,,10,,,,187,95,44,17,5,5,24,73,4,32,20,17,19,3,,,15,1,164,79,45,5,4,3,22,79,4,27,19,29,6,,,,6,,,,155,72,41,10,4,3,14,78,2,5,41,21,9,5,,,,4,1,,,,,177,78,36,10,6,6,20,93,1,6,43,19,24,6,,,,6,,,,
,,사망자수,8,7,3,0,0,,4,1,0,1,0,0,0,,,,0,,,,8,7,4,2,1,0,0,1,0,1,0,0,0,0,,,0,0,6,6,5,1,0,0,0,0,0,0,0,0,0,,,,0,,,,7,5,4,1,0,0,0,2,0,1,0,1,0,0,,,,0,0,,,,,9,7,4,0,0,1,2,2,0,2,0,0,0,0,,,,0,,,,
,,부상자수,158,73,24,9,1,,39,74,4,22,17,31,11,,,,11,,,,197,90,40,16,4,5,25,88,4,34,29,21,19,3,,,15,1,165,75,42,4,4,3,22,84,4,29,21,30,6,,,,6,,,,161,69,38,10,4,3,14,87,2,4,44,28,9,5,,,,4,1,,,,,178,72,32,10,6,5,19,100,1,4,48,21,26,6,,,,6,,,,
,,중상자수,80,49,17,6,0,,26,25,1,9,3,12,6,,,,6,,,,81,53,26,11,2,3,11,21,1,9,5,6,7,0,,,6,1,71,44,27,3,1,0,13,24,3,9,4,8,3,,,,3,,,,76,47,28,7,1,3,8,25,1,1,16,4,3,4,,,,3,1,,,,,66,41,20,7,2,3,9,23,0,2,10,4,7,2,,,,2,,,,
,,경상자수,73,21,7,2,1,,11,48,2,13,14,19,4,,,,4,,,,108,34,12,5,1,2,14,62,3,23,23,13,12,3,,,9,0,85,31,15,1,3,3,9,52,1,18,16,17,2,,,,2,,,,74,17,8,3,2,0,4,56,1,3,25,22,5,1,,,,1,0,,,,,95,26,10,3,3,2,8,66,1,2,31,16,16,3,,,,3,,,,
,,부상신고자수,5,3,0,1,0,,2,1,1,0,0,0,1,,,,1,,,,8,3,2,0,1,0,0,5,0,2,1,2,0,0,,,0,0,9,0,0,0,0,0,0,8,0,2,1,5,1,,,,1,,,,11,5,2,0,1,0,2,6,0,0,3,2,1,0,,,,0,0,,,,,17,5,2,0,1,0,2,11,0,0,7,1,3,1,,,,1,,,,
,부평구,사고건수,171,70,27,5,2,3,33,93,2,34,24,33,8,1,,,7,,,,190,93,36,1,3,5,48,91,11,29,19,32,6,,,,6,,178,77,35,3,4,2,33,97,3,41,25,28,4,1,,,3,,,,163,66,34,3,2,5,22,90,2,2,36,26,24,7,1,,,6,,,,,,125,61,18,10,2,3,28,57,,2,8,13,34,7,,,,7,,,,
,,사망자수,7,6,4,0,0,0,2,1,0,1,0,0,0,0,,,0,,,,6,3,2,0,0,0,1,3,1,1,0,1,0,,,,0,,3,1,1,0,0,0,0,2,0,2,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,3,2,1,0,0,0,1,1,,0,0,0,1,0,,,,0,,,,
,,부상자수,167,64,23,5,2,3,31,95,2,33,26,34,8,1,,,7,,,,195,92,35,1,3,5,48,97,11,34,20,32,6,,,,6,,182,77,34,3,4,2,34,101,3,41,29,28,4,1,,,3,,,,170,66,34,3,2,5,22,97,2,2,41,28,24,7,1,,,6,,,,,,126,60,17,10,2,3,28,59,,2,8,13,36,7,,,,7,,,,
,,중상자수,95,49,19,2,1,2,25,43,2,13,10,18,3,0,,,3,,,,95,59,31,0,2,2,24,34,3,10,6,15,2,,,,2,,80,50,21,3,3,1,22,27,1,10,5,11,3,1,,,2,,,,73,44,25,0,1,3,15,28,0,1,12,7,8,1,1,,,0,,,,,,61,37,10,7,0,2,18,21,,2,3,3,13,3,,,,3,,,,
,,경상자수,64,13,3,3,1,1,5,47,0,19,15,13,4,1,,,3,,,,98,32,4,1,1,3,23,62,8,23,14,17,4,,,,4,,97,24,12,0,1,1,10,72,2,30,24,16,1,0,,,1,,,,96,22,9,3,1,2,7,68,2,1,28,21,16,6,0,,,6,,,,,,59,20,7,2,2,1,8,35,,0,5,9,21,4,,,,4,,,,
,,부상신고자수,8,2,1,0,0,0,1,5,0,1,1,3,1,0,,,1,,,,2,1,0,0,0,0,1,1,0,1,0,0,0,,,,0,,5,3,1,0,0,0,2,2,0,1,0,1,0,0,,,0,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,,,,6,3,0,1,0,0,2,3,,0,0,1,2,0,,,,0,,,,
,남동구,사고건수,198,74,25,5,3,2,39,115,4,58,22,31,9,1,,,8,,,,215,97,41,10,16,13,17,113,13,70,24,6,5,1,,,4,,204,81,40,9,6,7,19,118,5,70,32,11,5,,,,5,,,,208,80,50,11,5,2,12,119,2,8,73,27,9,9,,,,8,,,1,,,179,63,26,9,4,3,21,109,2,2,53,29,23,7,1,,1,5,,,,
,,사망자수,7,4,0,2,0,0,2,2,0,1,0,1,1,1,,,0,,,,4,3,2,1,0,0,0,1,0,0,1,0,0,0,,,0,,7,3,2,0,0,1,0,4,2,2,0,0,0,,,,0,,,,10,6,4,2,0,0,0,3,0,0,3,0,0,1,,,,0,,,1,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
,,부상자수,204,71,26,3,3,2,37,125,4,63,24,34,8,0,,,8,,,,219,94,39,9,16,13,17,120,13,76,25,6,5,1,,,4,,218,79,39,9,6,6,19,134,3,79,39,13,5,,,,5,,,,208,74,46,9,5,2,12,126,2,8,77,29,10,8,,,,8,,,0,,,193,62,25,9,4,3,21,124,2,3,57,34,28,7,1,,1,5,,,,
,,중상자수,88,46,18,3,3,1,21,39,2,22,1,14,3,0,,,3,,,,94,60,24,5,9,10,12,32,4,22,5,1,2,0,,,2,,86,49,26,7,4,5,7,35,1,17,13,4,2,,,,2,,,,95,44,31,3,3,2,5,45,0,3,30,8,4,6,,,,6,,,0,,,66,39,19,8,2,2,8,25,1,0,12,5,7,2,0,,0,2,,,,
,,경상자수,107,20,7,0,0,1,12,83,1,41,23,18,4,0,,,4,,,,121,33,15,3,7,3,5,85,9,52,20,4,3,1,,,2,,127,28,12,2,2,1,11,96,2,60,26,8,3,,,,3,,,,109,26,12,6,2,0,6,81,2,5,47,21,6,2,,,,2,,,0,,,117,21,6,1,2,1,11,91,1,3,41,29,17,5,1,,1,3,,,,
,,부상신고자수,9,5,1,0,0,0,4,3,1,0,0,2,1,0,,,1,,,,4,1,0,1,0,0,0,3,0,2,0,1,0,0,,,0,,5,2,1,0,0,0,1,3,0,2,0,1,0,,,,0,,,,4,4,3,0,0,0,1,0,0,0,0,0,0,0,,,,0,,,0,,,10,2,0,0,0,0,2,8,0,0,4,0,4,0,0,,0,0,,,,
,서구,사고건수,138,45,14,2,1,2,26,83,5,21,24,33,10,,,,10,,,,134,50,19,9,2,9,11,76,1,31,37,7,8,4,,,4,,153,52,23,3,3,4,19,91,6,33,27,25,10,,,,8,2,,,138,47,28,10,1,2,6,82,,7,42,27,6,9,,,,7,,,2,,,139,55,32,4,5,2,12,78,1,8,36,21,12,6,1,,,5,,,,
,,사망자수,6,4,1,0,0,1,2,2,0,1,0,1,0,,,,0,,,,8,6,3,2,0,1,0,1,0,0,0,1,1,1,,,0,,7,6,3,0,0,2,1,1,0,0,0,1,0,,,,0,0,,,8,5,3,1,0,0,1,2,,0,2,0,0,1,,,,0,,,1,,,6,4,2,1,0,0,1,1,0,0,0,0,1,1,1,,,0,,,,
,,부상자수,139,42,14,2,1,1,24,87,5,23,26,33,10,,,,10,,,,143,45,16,7,2,8,12,91,1,39,45,6,7,3,,,4,,162,46,20,3,3,2,18,106,7,35,37,27,10,,,,8,2,,,143,43,26,9,1,2,5,91,,7,48,29,7,9,,,,8,,,1,,,142,52,31,3,5,2,11,85,1,9,38,26,11,5,0,,,5,,,,
