시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
,남동구,사고건수,198,9,3,10,18,19,28,25,22,26,17,14,7,215,6,3,16,12,32,36,25,21,27,24,10,3,204,8,4,9,13,17,26,34,22,31,21,13,6,208,11,4,15,10,26,28,31,30,25,11,11,6,179,4,5,13,11,23,17,27,25,23,12,13,6
,,사망자수,7,1,0,1,0,2,0,1,1,0,1,0,0,4,0,0,0,1,0,1,0,0,1,1,0,0,7,0,1,2,0,3,0,0,0,1,0,0,0,10,0,0,6,1,1,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
,,부상자수,204,8,3,9,19,20,29,25,22,29,18,15,7,219,6,3,18,11,33,36,27,21,28,23,10,3,218,8,3,8,14,14,29,35,31,32,23,13,8,208,11,4,10,9,27,29,31,31,27,12,11,6,193,4,6,13,10,27,18,31,28,23,13,13,7
,,중상자수,88,2,1,5,5,8,14,13,11,12,8,8,1,94,1,2,10,7,10,19,13,7,10,9,4,2,86,1,1,4,6,6,8,15,15,14,11,4,1,95,6,3,5,6,10,15,15,15,11,4,3,2,66,1,2,7,3,11,6,6,8,9,2,8,3
,,경상자수,107,5,2,3,14,10,15,12,8,16,10,6,6,121,4,1,7,4,23,17,14,13,17,14,6,1,127,7,2,4,6,7,20,20,16,17,12,9,7,109,5,0,5,3,17,14,13,16,16,8,8,4,117,3,4,5,7,16,12,19,19,13,11,4,4
,,부상신고자수,9,1,0,1,0,2,0,0,3,1,0,1,0,4,1,0,1,0,0,0,0,1,1,0,0,0,5,0,0,0,2,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,10,0,0,1,0,0,0,6,1,1,0,1,0
,서구,사고건수,138,6,,11,8,15,9,19,17,16,19,8,10,134,3,2,8,11,25,10,11,17,15,22,3,7,153,6,2,7,8,19,23,16,15,26,14,10,7,138,1,6,9,13,19,19,11,17,12,18,6,7,139,5,2,9,7,17,18,20,17,18,12,9,5
,,사망자수,6,0,,1,0,0,0,1,3,1,0,0,0,8,0,1,1,1,0,0,1,0,0,2,0,2,7,0,0,1,0,0,1,1,0,0,1,1,2,8,0,2,1,0,0,0,0,1,0,2,0,2,6,0,0,0,1,0,0,1,0,3,0,1,0
,,부상자수,139,6,,10,8,17,10,18,15,16,21,8,10,143,3,1,7,10,33,11,11,20,15,23,3,6,162,6,2,6,8,21,23,16,16,35,14,10,5,143,1,5,8,16,20,22,12,16,13,19,6,5,142,5,2,9,7,21,20,21,17,15,12,8,5
,,중상자수,60,1,,5,1,7,6,8,5,8,12,2,5,65,3,0,3,5,18,2,6,8,10,8,1,1,59,2,0,2,3,6,13,4,6,11,4,6,2,61,0,3,6,9,8,6,6,6,4,7,4,2,68,2,0,5,5,8,9,10,6,9,6,6,2
,,경상자수,76,5,,5,7,10,4,8,10,8,9,5,5,72,0,1,4,5,13,8,5,11,5,15,2,3,98,4,2,3,5,14,9,12,10,23,9,4,3,72,1,1,2,7,12,12,6,9,6,11,2,3,69,3,2,4,2,12,10,11,10,5,6,2,2
,,부상신고자수,3,0,,0,0,0,0,2,0,0,0,1,0,6,0,0,0,0,2,1,0,1,0,0,0,2,5,0,0,1,0,1,1,0,0,1,1,0,0,10,0,1,0,0,0,4,0,1,3,1,0,0,5,0,0,0,0,1,1,0,1,1,0,0,1
,연수구,사고건수,67,2,2,6,7,9,7,9,7,9,3,5,1,78,2,,5,6,10,9,5,6,10,11,8,6,82,2,3,3,9,8,6,9,14,7,10,8,3,67,1,1,,3,14,5,8,11,11,7,4,2,72,,2,8,5,11,10,7,6,5,12,3,3
,,사망자수,5,0,1,1,1,0,1,0,0,1,0,0,0,3,0,,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,6,,1,1,0,0,0,1,0,0,2,0,1
,,부상자수,67,2,1,6,9,9,6,9,7,8,3,6,1,80,3,,5,5,10,10,6,6,10,9,9,7,84,3,3,2,9,8,6,9,15,7,11,8,3,68,1,1,,2,14,5,8,11,12,8,4,2,69,,1,7,5,13,10,6,6,5,11,3,2
,,중상자수,26,2,0,4,3,4,2,3,3,3,1,1,0,40,1,,5,3,5,7,2,4,6,3,2,2,46,1,0,1,8,5,5,7,7,3,6,3,0,39,1,1,,1,10,3,4,5,6,4,2,2,38,,0,4,1,8,5,4,4,3,6,2,1
,,경상자수,41,0,1,2,6,5,4,6,4,5,2,5,1,37,2,,0,2,4,3,4,1,4,5,7,5,37,2,3,1,1,3,1,2,8,4,4,5,3,26,0,0,,1,3,2,3,5,6,4,2,0,29,,1,2,3,5,5,2,2,2,5,1,1
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,,0,1,0,1,1,0,0,0,0,2,,0,1,1,0,0,0,0,0,0,0,0
,계양구,사고건수,106,2,6,11,7,14,11,10,17,11,6,7,4,123,4,2,4,9,16,17,21,16,12,9,8,5,104,6,1,6,9,9,9,11,14,12,15,7,5,82,2,2,4,7,11,10,13,11,12,6,1,3,100,6,1,8,10,16,18,9,9,8,10,2,3
,,사망자수,7,0,1,1,0,1,0,1,1,0,0,2,0,6,0,0,0,1,0,0,2,0,2,0,1,0,5,0,0,0,3,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0,1,0,1,1,0,0,1,0,0,0
,,부상자수,103,2,5,11,7,13,11,9,16,13,7,5,4,126,4,2,4,9,17,19,23,16,10,9,7,6,103,7,1,6,6,10,9,11,15,11,15,7,5,83,2,2,3,7,11,11,13,11,13,7,1,2,105,6,1,7,10,16,22,10,10,8,10,2,3
,,중상자수,59,0,4,8,2,8,6,6,11,7,4,2,1,75,3,0,3,5,14,9,9,11,7,6,4,4,49,3,0,4,2,5,3,7,5,9,8,1,2,46,0,2,1,4,8,3,9,7,5,5,0,2,48,1,0,1,5,7,10,6,4,5,5,2,2
,,경상자수,41,2,0,3,5,5,4,3,5,5,3,3,3,46,1,2,1,4,2,10,11,5,3,2,3,2,47,4,1,2,4,4,5,3,10,1,6,4,3,35,2,0,2,2,3,8,4,4,7,2,1,0,51,5,1,6,4,7,12,3,6,2,4,0,1
,,부상신고자수,3,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,1,0,3,0,0,1,0,0,7,0,0,0,0,1,1,1,0,1,1,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,1,2,0,1,0,1,1,0,0
,강화군,사고건수,65,,,,5,7,7,14,18,5,6,2,1,81,,,,3,13,11,6,17,14,12,3,2,63,1,,,3,12,10,14,4,7,5,7,,63,,,1,4,12,9,12,8,8,5,2,2,79,1,,1,7,10,12,12,12,12,6,5,1
,,사망자수,6,,,,1,0,0,2,1,1,0,1,0,3,,,,0,0,0,1,1,0,1,0,0,11,1,,,0,3,2,0,0,1,2,2,,6,,,0,0,1,0,2,0,2,1,0,0,4,0,,0,1,0,0,1,1,0,1,0,0
,,부상자수,76,,,,8,7,8,15,22,7,6,2,1,85,,,,3,14,12,8,17,14,12,3,2,56,0,,,3,9,10,14,5,7,3,5,,74,,,1,11,11,10,11,9,13,4,2,2,94,1,,1,7,11,21,13,12,13,7,7,1
,,중상자수,37,,,,1,4,3,10,11,1,5,2,0,57,,,,1,9,7,5,13,11,9,1,1,41,0,,,3,7,8,6,4,7,2,4,,46,,,0,9,8,7,5,7,6,2,1,1,51,1,,0,6,8,6,6,10,5,3,5,1
,,경상자수,34,,,,7,3,3,4,10,5,1,0,1,26,,,,2,5,5,3,3,3,2,2,1,14,0,,,0,1,2,8,1,0,1,1,,27,,,1,2,3,3,5,2,7,2,1,1,35,0,,1,1,3,7,7,2,8,4,2,0
,,부상신고자수,5,,,,0,0,2,1,1,1,0,0,0,2,,,,0,0,0,0,1,0,1,0,0,1,0,,,0,1,0,0,0,0,0,0,,1,,,0,0,0,0,1,0,0,0,0,0,8,0,,0,0,0,8,0,0,0,0,0,0
,옹진군,사고건수,4,1,,,,1,1,,,,1,,,10,,,,,1,,4,1,3,1,,,9,,,,,1,2,1,2,1,1,,1,4,,,,1,,1,2,,,,,,5,,,,1,,1,,2,,,1,
,,사망자수,0,0,,,,0,0,,,,0,,,3,,,,,1,,1,0,1,0,,,3,,,,,0,1,0,1,0,1,,0,1,,,,0,,0,1,,,,,,1,,,,0,,0,,1,,,0,
,,부상자수,4,1,,,,1,1,,,,1,,,7,,,,,0,,3,1,2,1,,,6,,,,,1,1,1,1,1,0,,1,3,,,,1,,1,1,,,,,,4,,,,1,,1,,1,,,1,
,,중상자수,3,1,,,,1,0,,,,1,,,1,,,,,0,,0,0,1,0,,,3,,,,,0,1,1,0,0,0,,1,1,,,,0,,0,1,,,,,,4,,,,1,,1,,1,,,1,
,,경상자수,1,0,,,,0,1,,,,0,,,5,,,,,0,,2,1,1,1,,,1,,,,,1,0,0,0,0,0,,0,2,,,,1,,1,0,,,,,,0,,,,0,,0,,0,,,0,
,,부상신고자수,0,0,,,,0,0,,,,0,,,1,,,,,0,,1,0,0,0,,,2,,,,,0,0,0,1,1,0,,0,0,,,,0,,0,0,,,,,,0,,,,0,,0,,0,,,0,
광주,합계,사고건수,987,11,13,57,84,132,128,108,118,135,119,42,40,981,21,13,37,62,141,136,117,122,136,114,51,31,941,23,16,42,82,122,121,91,117,123,114,59,31,1038,29,12,39,80,131,138,118,122,153,123,58,35,1137,24,13,53,89,141,161,126,150,148,127,65,40
,,사망자수,35,0,0,6,3,3,5,1,3,4,7,2,1,38,0,1,5,2,5,5,3,3,0,4,8,2,36,0,1,5,6,1,0,4,7,2,4,3,3,48,2,0,5,4,5,7,3,4,8,5,3,2,44,0,0,6,3,6,5,5,6,2,5,2,4
,,부상자수,1065,11,14,68,86,149,135,118,126,152,122,42,42,1049,21,13,37,67,150,148,131,129,153,122,45,33,1002,25,16,43,84,131,131,100,129,132,121,58,32,1126,30,13,41,85,137,154,130,137,174,132,60,33,1245,24,15,48,96,145,183,149,164,180,136,68,37
,,중상자수,359,2,1,25,34,56,44,39,38,52,45,14,9,346,4,3,13,21,43,49,48,38,45,51,20,11,327,6,3,16,39,45,40,33,34,46,41,19,5,382,7,3,19,26,56,47,52,43,54,46,24,5,360,4,3,15,31,40,66,38,39,62,31,20,11
,,경상자수,681,8,13,43,50,90,89,77,84,97,73,26,31,671,17,10,24,46,100,94,76,89,104,67,23,21,645,19,13,24,43,82,85,63,91,83,78,37,27,718,23,10,21,57,77,104,75,91,117,81,36,26,858,20,11,33,64,103,114,106,123,112,103,46,23
,,부상신고자수,25,1,0,0,2,3,2,2,4,3,4,2,2,32,0,0,0,0,7,5,7,2,4,4,2,1,30,0,0,3,2,4,6,4,4,3,2,2,0,26,0,0,1,2,4,3,3,3,3,5,0,2,27,0,1,0,1,2,3,5,2,6,2,2,3
,동구,사고건수,119,2,4,4,4,21,16,16,17,17,14,2,2,135,,2,7,4,17,20,23,19,14,23,6,,90,5,1,3,10,13,5,16,10,15,9,1,2,126,3,2,2,8,17,22,17,13,24,12,4,2,127,2,2,3,7,17,13,20,25,14,8,13,3
,,사망자수,3,0,0,0,0,1,0,0,0,1,1,0,0,5,,0,1,0,1,0,1,0,0,1,1,,4,0,0,0,1,0,0,0,1,0,1,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,부상자수,126,2,4,4,5,21,17,18,21,17,13,2,2,143,,2,6,4,17,22,29,19,16,23,5,,92,5,1,3,11,13,5,19,9,15,9,1,1,143,3,3,2,10,17,21,21,15,30,15,4,2,146,2,2,3,8,18,14,25,28,16,13,14,3
,,중상자수,45,1,0,3,0,9,5,7,4,9,5,0,2,48,,0,3,3,4,7,10,3,5,10,3,,40,1,1,2,4,4,2,10,4,5,6,1,0,55,2,0,0,2,7,8,14,5,12,3,2,0,48,0,0,1,2,8,6,7,8,9,4,2,1
,,경상자수,77,1,4,1,5,12,12,11,14,8,7,2,0,90,,2,3,1,13,13,18,16,10,12,2,,48,4,0,1,6,9,2,8,4,10,3,0,1,87,1,3,1,8,10,13,7,10,18,12,2,2,93,2,2,2,6,9,8,15,20,7,9,11,2
,,부상신고자수,4,0,0,0,0,0,0,0,3,0,1,0,0,5,,0,0,0,0,2,1,0,1,1,0,,4,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,1,0
,서구,사고건수,177,1,2,14,20,19,22,23,17,19,20,8,12,204,9,5,12,17,24,35,20,21,29,16,6,10,196,9,6,12,10,17,30,10,35,25,22,12,8,204,6,4,15,17,20,25,23,22,33,18,13,8,248,4,7,16,20,37,27,32,28,27,30,13,7
,,사망자수,8,0,0,0,1,1,2,0,2,0,2,0,0,4,0,0,1,0,1,0,1,0,0,0,1,0,9,0,1,1,1,0,0,1,1,0,2,1,1,7,0,0,1,1,0,1,2,0,1,1,0,0,5,0,0,0,0,0,1,1,0,0,1,1,1
,,부상자수,190,1,2,19,19,20,22,26,19,23,19,8,12,220,9,5,13,19,24,40,21,21,33,16,5,14,210,10,5,11,12,17,33,12,40,25,24,12,9,220,6,4,21,16,20,27,25,25,37,17,14,8,268,4,9,16,23,41,29,34,28,35,30,13,6
,,중상자수,67,0,0,6,9,11,5,7,7,11,7,3,1,73,2,2,6,4,12,13,7,8,7,5,0,7,68,1,2,7,7,6,11,2,9,12,6,3,2,76,2,2,12,5,9,4,10,5,13,8,5,1,67,1,0,4,7,9,8,8,9,10,5,3,3
,,경상자수,121,1,2,13,10,9,17,18,12,12,12,4,11,146,7,3,7,15,12,27,13,13,26,11,5,7,134,9,3,1,5,11,21,10,29,12,17,9,7,139,4,2,9,10,9,23,15,19,24,9,9,6,194,3,9,12,16,32,21,25,19,21,25,9,2
,,부상신고자수,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,3,0,0,1,0,2,1,1,0,0,5,0,0,0,1,2,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,0,4,0,1,1
,북구,사고건수,319,4,3,17,27,41,42,32,35,48,43,16,11,299,5,4,8,26,51,27,33,39,36,43,19,8,336,3,5,12,41,50,39,34,31,47,50,15,9,354,11,4,13,24,46,48,46,35,42,48,21,16,372,5,3,19,31,48,53,38,48,49,45,18,15
,,사망자수,13,0,0,3,0,1,1,1,0,2,2,2,1,16,0,1,3,1,2,1,0,1,0,2,4,1,8,0,0,1,1,1,0,0,2,1,0,1,1,14,1,0,2,0,3,2,0,1,1,1,2,1,15,0,0,2,2,4,1,0,1,1,1,1,2
,,부상자수,336,4,4,21,28,43,43,35,38,50,44,15,11,316,5,4,5,29,55,28,37,45,37,47,17,7,361,3,5,13,43,55,43,36,39,50,52,14,8,387,11,4,11,25,49,59,52,42,48,52,19,15,401,5,3,18,32,47,58,45,54,58,49,18,14
,,중상자수,105,1,0,6,12,15,14,11,8,15,17,4,2,98,0,1,1,7,13,8,16,11,8,23,9,1,110,0,0,3,18,17,15,13,10,13,15,4,2,114,1,0,4,8,16,18,16,14,11,13,9,4,107,0,2,5,9,11,24,9,10,14,11,9,3
,,경상자수,221,3,4,15,15,26,27,23,30,34,25,10,9,204,5,3,4,22,39,19,18,32,27,23,6,6,243,3,5,10,24,36,27,21,29,36,36,10,6,264,10,4,7,16,33,40,34,27,35,38,10,10,287,5,0,13,22,36,34,35,42,44,36,9,11
,,부상신고자수,10,0,0,0,1,2,2,1,0,1,2,1,0,14,0,0,0,0,3,1,3,2,2,1,2,0,8,0,0,0,1,2,1,2,0,1,1,0,0,9,0,0,0,1,0,1,2,1,2,1,0,1,7,0,1,0,1,0,0,1,2,0,2,0,0
,광산구,사고건수,204,4,3,10,14,32,19,20,31,30,21,11,9,207,3,2,9,6,30,32,24,22,31,22,17,9,177,3,3,11,12,22,24,17,22,22,18,15,8,214,6,2,3,22,28,27,20,31,29,27,15,4,259,6,1,6,25,23,37,24,32,44,35,14,12
,,사망자수,3,0,0,0,0,0,1,0,1,0,1,0,0,11,0,0,0,0,1,4,1,2,0,1,2,0,10,0,0,3,2,0,0,1,2,1,1,0,0,15,0,0,0,3,2,2,1,1,3,1,1,1,16,0,0,1,1,0,3,3,3,1,3,0,1
,,부상자수,232,4,3,12,16,39,21,20,30,41,24,11,11,221,3,2,12,6,33,32,27,22,38,22,15,9,193,3,4,12,10,25,26,19,23,26,20,16,9,222,7,2,3,24,29,29,19,33,30,28,15,3,289,6,1,5,27,24,45,29,35,56,34,16,11
,,중상자수,75,0,1,6,5,12,6,9,13,10,7,5,1,69,1,0,3,4,7,9,8,7,14,7,7,2,60,2,0,3,7,10,6,4,6,9,7,5,1,82,2,1,1,8,16,10,6,12,7,14,5,0,86,2,1,3,11,8,12,7,7,21,9,2,3
,,경상자수,153,3,2,6,11,26,15,11,17,31,17,6,8,143,2,2,9,2,22,22,17,15,24,14,8,6,125,1,4,9,3,14,17,15,16,16,13,9,8,137,5,1,2,16,13,18,13,21,23,12,10,3,198,4,0,2,16,16,32,22,28,33,25,14,6
,,부상신고자수,4,1,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,4,1,2,0,0,1,0,1,8,0,0,0,0,1,3,0,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,2,0,0,2
,남구,사고건수,168,,1,12,19,19,29,17,18,21,21,5,6,136,4,,1,9,19,22,17,21,26,10,3,4,142,3,1,4,9,20,23,14,19,14,15,16,4,140,3,,6,9,20,16,12,21,25,18,5,5,131,7,,9,6,16,31,12,17,14,9,7,3
,,사망자수,8,,0,3,2,0,1,0,0,1,1,0,0,2,0,,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,2,1,0,0,1,0,9,0,,2,0,0,1,0,2,2,2,0,0,8,0,,3,0,2,0,1,2,0,0,0,0
,,부상자수,181,,1,12,18,26,32,19,18,21,22,6,6,149,4,,1,9,21,26,17,22,29,14,3,3,146,4,1,4,8,21,24,14,18,16,16,15,5,154,3,,4,10,22,18,13,22,29,20,8,5,141,7,,6,6,15,37,16,19,15,10,7,3
,,중상자수,67,,0,4,8,9,14,5,6,7,9,2,3,58,1,,0,3,7,12,7,9,11,6,1,1,49,2,0,1,3,8,6,4,5,7,7,6,0,55,0,,2,3,8,7,6,7,11,8,3,0,52,1,,2,2,4,16,7,5,8,2,4,1
,,경상자수,109,,1,8,9,17,18,14,11,12,12,4,3,88,3,,1,6,14,13,10,13,17,7,2,2,95,2,1,3,5,12,18,9,13,9,9,9,5,91,3,,2,7,12,10,6,14,17,10,5,5,86,6,,4,4,10,19,9,14,7,8,3,2
,,부상신고자수,5,,0,0,1,0,0,0,1,2,1,0,0,3,0,,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,8,0,,0,0,2,1,1,1,1,2,0,0,3,0,,0,0,1,2,0,0,0,0,0,0
대전,합계,사고건수,786,11,15,48,57,94,103,107,104,84,92,47,24,929,20,17,33,68,118,144,109,110,128,100,60,22,1064,20,17,48,71,135,166,120,143,138,111,59,36,1099,22,17,60,75,128,155,136,148,154,116,61,27,1176,30,15,55,83,146,159,145,164,145,126,69,39
,,사망자수,41,1,0,5,4,5,4,4,4,5,4,3,2,36,0,1,4,4,3,2,5,4,5,4,2,2,38,0,1,8,4,5,3,2,3,5,4,0,3,27,0,2,3,3,1,2,3,6,3,0,1,3,34,2,0,3,6,2,5,6,2,1,1,6,0
,,부상자수,815,11,15,49,55,97,103,109,113,90,102,47,24,978,22,16,31,73,126,161,111,114,140,98,66,20,1130,21,17,45,71,155,181,132,151,146,114,61,36,1172,22,16,61,75,141,176,147,155,165,123,67,24,1285,29,15,82,88,160,170,154,182,160,136,67,42
,,중상자수,398,4,5,28,28,47,53,51,55,43,54,19,11,425,7,6,14,34,46,78,54,55,48,47,30,6,471,8,5,25,32,66,82,54,59,55,50,28,7,453,8,4,31,29,50,74,61,62,55,50,20,9,456,12,2,34,41,61,65,58,59,47,45,20,12
,,경상자수,404,7,10,20,27,49,49,56,55,45,47,26,13,536,14,10,17,39,79,80,55,56,87,50,36,13,622,13,12,20,36,82,89,77,88,85,61,31,28,676,14,12,30,42,82,96,74,91,105,70,45,15,789,16,12,46,45,90,105,93,116,103,88,45,30
,,부상신고자수,13,0,0,1,0,1,1,2,3,2,1,2,0,17,1,0,0,0,1,3,2,3,5,1,0,1,37,0,0,0,3,7,10,1,4,6,3,2,1,43,0,0,0,4,9,6,12,2,5,3,2,0,40,1,1,2,2,9,0,3,7,10,3,2,0
,동구,사고건수,174,1,5,8,9,21,20,24,29,21,25,6,5,229,7,2,7,18,27,37,29,23,35,28,11,5,226,5,2,9,21,27,35,23,27,26,31,15,5,203,3,6,15,16,24,25,29,18,27,24,9,7,279,7,2,12,23,33,28,35,42,38,34,16,9
,,사망자수,11,0,0,1,1,1,1,1,1,0,2,1,2,12,0,0,0,1,2,1,3,0,3,2,0,0,8,0,0,0,0,1,1,0,0,2,3,0,1,9,0,2,1,1,0,0,2,2,1,0,0,0,11,1,0,2,2,0,0,1,1,0,1,3,0
,,부상자수,175,1,5,7,8,22,20,23,31,24,25,5,4,244,7,2,7,19,27,42,27,25,40,27,16,5,248,6,2,10,22,31,43,25,29,28,32,16,4,215,3,4,15,17,29,28,32,18,27,24,11,7,313,6,2,33,23,38,31,38,47,40,33,13,9
,,중상자수,84,0,2,5,5,9,11,9,14,13,12,1,3,102,2,1,2,8,9,21,13,11,15,12,8,0,109,3,0,7,13,11,20,9,14,9,13,9,1,92,2,2,11,10,11,14,15,7,9,6,3,2,119,2,0,18,13,15,9,14,15,8,18,4,3
,,경상자수,87,1,3,2,3,13,9,14,14,11,12,4,1,138,5,1,5,11,18,20,14,14,22,15,8,5,131,3,2,3,9,19,19,16,15,19,18,6,2,121,1,2,4,7,18,13,17,11,18,17,8,5,189,3,2,15,10,21,22,24,31,31,15,9,6
,,부상신고자수,4,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,8,0,0,0,0,1,4,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,2,0,0,1,1,0,0,0
,중구,사고건수,212,5,3,15,20,24,26,34,25,23,20,13,4,210,2,3,7,15,31,39,23,21,25,27,14,3,230,5,4,8,14,26,39,28,39,34,17,10,6,259,6,2,12,19,39,38,30,30,32,28,14,9,234,2,4,15,12,22,28,31,39,35,26,10,10
,,사망자수,8,0,0,2,1,1,1,2,0,1,0,0,0,7,0,0,2,0,1,0,1,1,0,1,0,1,7,0,1,2,2,0,0,0,1,1,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,2,1,0,0,0,0
,,부상자수,214,6,3,13,20,23,26,35,25,22,22,15,4,218,2,3,6,19,31,42,24,20,28,27,14,2,237,5,4,7,12,26,39,33,44,33,17,10,7,274,6,2,12,19,39,44,33,31,35,30,14,9,255,2,4,16,14,21,31,34,44,39,28,11,11
,,중상자수,118,2,1,9,10,13,15,18,17,11,12,7,3,103,0,1,2,8,14,20,12,12,10,17,5,2,112,1,1,4,5,14,23,17,18,15,8,5,1,114,1,0,7,7,14,18,15,15,12,17,6,2,92,2,1,5,7,10,14,13,15,12,9,1,3
,,경상자수,95,4,2,3,10,10,11,17,8,11,10,8,1,113,2,2,4,11,17,22,11,7,18,10,9,0,122,4,3,3,7,11,16,16,25,18,9,4,6,154,5,2,5,11,24,26,16,16,22,13,7,7,151,0,3,10,6,8,17,19,29,22,19,10,8
,,부상신고자수,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,6,0,0,0,1,1,0,2,0,1,0,1,0,12,0,0,1,1,3,0,2,0,5,0,0,0
,서구,사고건수,190,3,4,8,10,22,32,28,26,19,17,14,7,233,5,7,11,16,28,31,26,30,35,21,19,4,300,5,4,16,17,40,48,42,34,33,34,17,10,261,6,6,13,15,27,40,24,51,33,25,16,5,290,14,3,16,10,32,42,39,31,36,35,22,10
,,사망자수,5,0,0,1,0,1,0,1,2,0,0,0,0,5,0,0,0,1,0,0,0,1,2,0,0,1,6,0,0,3,1,0,1,0,0,1,0,0,0,8,0,0,1,0,0,1,0,3,1,0,0,2,8,1,0,1,0,0,2,3,0,0,0,1,0
,,부상자수,204,3,4,13,11,22,33,28,30,21,18,14,7,245,6,7,12,16,31,33,28,33,36,21,19,3,320,5,4,13,17,51,52,45,34,35,36,17,11,273,6,6,13,15,31,44,25,54,34,25,17,3,308,14,3,20,10,34,42,40,33,40,39,22,11
,,중상자수,88,1,2,6,6,10,15,13,12,9,7,6,1,100,1,2,9,10,10,13,13,14,12,7,9,0,131,1,2,7,7,22,21,20,16,9,15,8,3,95,1,1,4,2,9,20,9,20,14,10,4,1,100,6,0,5,5,12,17,18,11,9,7,6,4
,,경상자수,114,2,2,7,5,12,17,15,18,11,11,8,6,140,4,5,3,6,21,19,14,19,24,13,10,2,180,4,2,6,9,26,29,25,18,23,21,9,8,172,5,5,9,12,21,24,12,34,20,15,13,2,196,8,3,15,5,18,25,22,20,28,30,15,7
,,부상신고자수,2,0,0,0,0,0,1,0,0,1,0,0,0,5,1,0,0,0,0,1,1,0,0,1,0,1,9,0,0,0,1,3,2,0,0,3,0,0,0,6,0,0,0,1,1,0,4,0,0,0,0,0,12,0,0,0,0,4,0,0,2,3,2,1,0
,유성구,사고건수,125,2,2,10,9,15,16,14,16,10,16,8,7,150,3,3,4,10,21,22,16,20,17,14,10,10,171,4,5,10,8,28,25,18,27,20,12,8,6,213,5,1,13,11,17,29,30,28,41,18,14,6,239,5,4,7,26,37,35,27,32,23,20,17,6
,,사망자수,8,1,0,1,1,1,0,0,0,2,1,1,0,6,0,1,1,1,0,1,0,1,0,0,1,0,5,0,0,2,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,1,0,2,0,0,0,0,2,0
,,부상자수,137,1,2,9,8,19,17,16,18,14,18,7,8,162,4,2,3,11,24,26,17,21,20,14,10,10,179,4,5,8,9,29,27,21,29,22,12,8,5,231,5,1,14,10,18,34,32,30,44,20,18,5,275,5,4,7,32,46,40,28,37,27,25,17,7
,,중상자수,62,1,0,5,4,9,9,7,6,5,10,3,3,66,3,2,0,4,6,13,8,10,5,7,4,4,69,2,2,3,2,14,11,4,8,11,8,3,1,85,3,0,6,5,9,10,13,9,13,7,6,4,94,2,1,4,9,17,16,7,12,11,6,8,1
