시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
,,사망자수,3,0,0,0,0,0,0,,,1,1,1,0,4,,0,0,0,0,0,2,2,0,0,,0,2,,0,1,0,0,,,0,,0,0,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
,,부상자수,18,1,3,2,1,3,2,,,2,1,0,3,19,,2,2,2,1,1,3,4,1,1,,2,23,,1,3,3,5,,,1,,5,3,2,26,4,2,2,1,1,3,,3,1,2,3,4,34,2,3,4,2,1,4,5,3,5,3,1,1
,,중상자수,12,0,3,2,0,1,1,,,2,1,0,2,15,,2,1,1,1,1,3,3,0,1,,2,13,,1,1,1,3,,,0,,3,2,2,15,2,2,1,1,1,1,,1,0,0,2,4,19,1,2,0,1,1,3,3,2,3,2,1,0
,,경상자수,6,1,0,0,1,2,1,,,0,0,0,1,3,,0,0,1,0,0,0,1,1,0,,0,10,,0,2,2,2,,,1,,2,1,0,10,2,0,1,0,0,2,,2,0,2,1,0,11,1,0,2,1,0,1,2,0,2,1,0,1
,,부상신고자수,0,0,0,0,0,0,0,,,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,0,,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,4,0,1,2,0,0,0,0,1,0,0,0,0
,남구,사고건수,157,13,8,15,14,17,6,7,10,7,26,17,17,187,16,15,8,17,16,14,15,14,16,18,18,20,164,15,14,13,20,13,5,11,13,10,21,17,12,155,15,14,13,14,12,7,14,15,13,10,14,14,177,16,7,18,12,20,11,11,15,18,16,14,19
,,사망자수,8,0,0,1,0,2,0,0,0,0,2,1,2,8,0,1,1,1,0,1,1,0,0,0,2,1,6,1,0,1,1,0,0,0,0,1,2,0,0,7,0,0,0,0,0,1,1,1,0,1,1,2,9,0,1,1,0,0,0,1,3,0,1,0,2
,,부상자수,158,14,10,14,14,16,6,7,11,7,27,16,16,197,17,14,7,16,19,13,19,18,16,19,17,22,165,15,15,12,19,14,5,12,13,9,21,18,12,161,18,16,13,14,12,6,18,14,13,12,13,12,178,16,6,17,12,22,12,12,15,18,16,14,18
,,중상자수,80,5,4,8,4,7,1,3,7,5,16,10,10,81,6,4,3,7,5,7,5,10,7,7,9,11,71,12,5,3,11,8,1,3,5,3,7,9,4,76,9,12,4,6,5,2,9,5,8,3,6,7,66,4,4,7,5,7,4,4,6,8,6,7,4
,,경상자수,73,7,5,5,9,9,5,4,4,2,11,6,6,108,11,9,4,8,13,6,14,8,6,11,8,10,85,3,8,8,7,6,4,9,7,5,12,9,7,74,9,4,8,8,6,3,7,8,5,6,6,4,95,10,2,9,7,12,5,8,9,6,8,6,13
,,부상신고자수,5,2,1,1,1,0,0,0,0,0,0,0,0,8,0,1,0,1,1,0,0,0,3,1,0,1,9,0,2,1,1,0,0,0,1,1,2,0,1,11,0,0,1,0,1,1,2,1,0,3,1,1,17,2,0,1,0,3,3,0,0,4,2,1,1
,부평구,사고건수,171,11,9,16,13,13,23,11,11,18,9,23,14,190,20,14,14,12,14,13,18,20,15,22,16,12,178,10,7,15,13,20,13,14,11,13,13,27,22,163,9,17,14,12,19,14,22,12,9,10,15,10,125,12,13,14,14,9,6,9,6,8,11,16,7
,,사망자수,7,0,0,1,0,0,3,0,1,1,0,1,0,6,0,0,0,0,0,3,2,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0
,,부상자수,167,11,11,15,14,13,20,11,10,17,9,22,14,195,22,16,14,12,15,10,16,20,15,26,15,14,182,10,7,16,13,21,14,14,11,12,14,28,22,170,9,17,14,12,21,15,23,14,9,10,16,10,126,11,12,13,14,12,6,9,6,8,12,16,7
,,중상자수,95,8,9,7,8,4,13,7,4,8,4,14,9,95,6,5,7,8,10,6,7,11,11,14,5,5,80,8,5,7,5,10,6,2,8,7,7,5,10,73,6,5,7,2,13,4,9,7,3,4,9,4,61,5,6,6,4,7,4,3,4,3,6,10,3
,,경상자수,64,3,2,7,6,8,7,4,6,5,4,8,4,98,15,11,7,4,5,4,8,9,4,12,10,9,97,2,2,8,7,11,7,12,3,4,7,22,12,96,3,12,7,10,7,11,14,7,6,6,7,6,59,5,6,7,9,5,2,5,2,3,6,5,4
,,부상신고자수,8,0,0,1,0,1,0,0,0,4,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,2,0,1,0
,남동구,사고건수,198,11,10,24,10,16,12,17,17,14,25,26,16,215,20,18,17,15,23,10,10,17,25,29,17,14,204,17,11,23,17,16,16,21,17,15,15,17,19,208,17,14,19,18,16,21,15,15,21,25,16,11,179,14,17,14,20,16,20,16,10,14,11,13,14
,,사망자수,7,1,0,0,0,0,0,2,1,0,1,1,1,4,0,1,0,0,0,0,0,0,0,2,0,1,7,0,0,1,2,2,0,0,0,1,1,0,0,10,2,0,1,0,0,0,0,3,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2
,,부상자수,204,10,12,25,11,18,12,15,16,14,28,28,15,219,21,17,17,18,23,11,10,17,27,27,18,13,218,18,11,25,22,16,18,23,17,14,14,20,20,208,15,14,18,18,19,22,16,14,20,26,15,11,193,15,21,16,21,16,21,18,11,16,12,13,13
,,중상자수,88,7,6,9,4,3,6,5,9,5,17,11,6,94,10,9,9,7,11,3,3,4,15,12,7,4,86,8,1,15,10,7,6,4,11,2,5,7,10,95,5,7,7,6,9,13,7,6,11,13,6,5,66,7,5,5,8,3,6,6,4,8,5,4,5
,,경상자수,107,3,6,14,7,13,5,10,7,8,10,16,8,121,11,8,8,8,12,8,7,12,12,15,11,9,127,10,10,10,12,9,11,18,6,10,9,13,9,109,10,7,11,10,10,9,8,8,9,13,9,5,117,6,12,9,13,13,15,11,7,8,7,8,8
,,부상신고자수,9,0,0,2,0,2,1,0,0,1,1,1,1,4,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0,2,0,0,1,4,0,0,0,2,0,0,1,0,0,0,0,1,10,2,4,2,0,0,0,1,0,0,0,1,0
,서구,사고건수,138,8,9,9,7,19,7,10,13,15,10,22,9,134,12,17,11,11,9,12,10,15,7,4,21,5,153,13,13,8,8,14,9,14,15,14,20,10,15,138,14,8,9,13,14,13,11,12,10,15,11,8,139,18,16,13,9,9,14,8,11,7,13,10,11
,,사망자수,6,0,0,1,0,3,0,0,0,1,0,1,0,8,1,1,2,1,2,0,0,1,0,0,0,0,7,1,0,0,0,0,1,1,1,3,0,0,0,8,1,1,1,0,1,0,0,1,1,2,0,0,6,0,1,0,0,0,0,0,2,0,1,2,0
,,부상자수,139,8,9,8,9,16,10,10,13,14,10,22,10,143,11,23,9,12,8,14,10,17,7,4,23,5,162,12,14,9,8,14,8,14,21,12,23,10,17,143,14,7,10,14,13,14,15,12,9,14,12,9,142,18,19,14,10,9,14,9,9,7,13,8,12
,,중상자수,60,5,6,2,4,7,2,3,6,3,6,11,5,65,5,11,6,5,5,4,3,8,3,3,9,3,59,3,2,5,6,6,3,5,10,4,7,3,5,61,7,3,2,8,5,5,6,6,2,6,7,4,68,9,9,8,2,4,8,6,4,1,7,5,5
,,경상자수,76,2,3,5,5,9,8,7,7,10,4,11,5,72,5,8,2,7,3,10,7,9,4,1,14,2,98,9,11,4,2,8,3,9,11,8,15,7,11,72,6,4,7,5,7,8,7,5,5,8,5,5,69,8,9,6,8,5,5,3,5,5,6,2,7
,,부상신고자수,3,1,0,1,0,0,0,0,0,1,0,0,0,6,1,4,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,1,0,1,10,1,0,1,1,1,1,2,1,2,0,0,0,5,1,1,0,0,0,1,0,0,1,0,1,0
,연수구,사고건수,67,7,5,5,2,10,3,4,9,8,3,9,2,78,4,5,7,7,11,7,3,8,4,6,9,7,82,6,10,6,5,9,9,11,8,1,7,4,6,67,3,5,6,3,6,2,8,7,8,4,9,6,72,4,6,6,5,7,7,11,6,4,4,6,6
,,사망자수,5,1,1,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,1,0,0,0,1,1,1,1,0
,,부상자수,67,7,4,6,2,10,6,4,9,7,3,7,2,80,4,5,7,8,11,6,4,7,4,6,11,7,84,6,10,8,5,9,8,11,8,1,7,4,7,68,3,6,6,3,6,2,8,7,8,4,9,6,69,5,6,6,4,7,8,11,5,3,3,5,6
,,중상자수,26,3,1,4,1,4,1,0,3,4,2,3,0,40,2,1,1,2,6,5,3,5,1,5,6,3,46,3,6,5,1,5,3,6,7,1,5,2,2,39,3,3,4,2,0,1,6,6,6,3,3,2,38,3,4,3,2,5,5,3,3,3,0,2,5
,,경상자수,41,4,3,2,1,6,5,4,6,3,1,4,2,37,2,3,6,5,5,1,1,2,3,1,5,3,37,3,4,3,3,4,5,5,1,0,2,2,5,26,0,3,2,1,5,1,1,1,2,1,5,4,29,2,2,3,1,2,3,7,2,0,3,3,1
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0
,계양구,사고건수,106,7,5,9,8,12,8,7,5,14,6,19,6,123,10,11,11,10,10,10,11,7,10,13,10,10,104,9,3,7,12,11,7,6,9,11,10,9,10,82,6,8,8,4,4,7,5,6,9,10,4,11,100,7,7,9,8,13,8,7,10,8,9,6,8
,,사망자수,7,1,1,0,1,0,0,1,1,1,0,1,0,6,0,0,0,0,2,0,1,0,1,1,1,0,5,0,1,0,0,1,0,0,1,0,2,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,2,1,0,0,0,0
,,부상자수,103,6,5,9,9,12,8,6,4,14,6,18,6,126,11,14,12,12,8,10,10,7,10,12,9,11,103,9,2,8,12,11,8,6,8,11,8,10,10,83,5,8,7,4,4,6,6,6,10,11,4,12,105,7,8,10,8,14,9,5,9,8,12,7,8
,,중상자수,59,4,3,6,5,8,4,4,2,9,4,9,1,75,8,7,5,5,7,5,5,4,7,7,7,8,49,6,0,2,5,7,3,2,5,5,3,7,4,46,1,4,5,1,2,5,3,4,7,5,3,6,48,4,5,2,3,9,6,3,2,5,4,2,3
,,경상자수,41,2,2,3,3,3,4,2,2,5,2,9,4,46,3,5,6,7,1,5,4,3,3,5,2,2,47,3,1,6,6,3,5,3,2,5,5,3,5,35,3,4,2,3,2,1,3,2,2,6,1,6,51,2,3,8,4,5,3,2,7,2,7,4,4
,,부상신고자수,3,0,0,0,1,1,0,0,0,0,0,0,1,5,0,2,1,0,0,0,1,0,0,0,0,1,7,0,1,0,1,1,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0,1,1,1,1
,강화군,사고건수,65,3,2,5,3,3,13,4,3,10,10,8,1,81,5,2,5,2,4,7,7,9,11,16,7,6,63,7,3,7,5,5,4,4,7,5,9,5,2,63,2,4,4,9,5,8,4,2,9,10,5,1,79,5,5,4,5,8,6,11,10,7,9,7,2
,,사망자수,6,1,1,0,0,0,1,0,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,11,1,1,1,0,2,0,0,1,0,3,1,1,6,0,1,1,1,0,0,0,0,1,1,1,0,4,0,0,1,0,1,0,1,0,0,1,0,0
,,부상자수,76,3,1,6,4,3,16,5,3,14,13,7,1,85,5,2,5,3,4,7,8,9,14,15,8,5,56,8,2,6,5,3,4,4,6,5,7,5,1,74,2,4,9,8,6,12,6,2,11,9,4,1,94,5,5,12,7,7,6,12,11,8,10,9,2
,,중상자수,37,1,1,4,3,1,5,2,2,4,9,4,1,57,1,2,4,3,2,6,6,5,9,12,3,4,41,5,2,6,4,2,2,4,4,2,6,3,1,46,1,3,8,6,1,5,3,2,8,6,2,1,51,4,5,2,3,3,4,9,7,5,3,5,1
,,경상자수,34,2,0,2,1,2,10,2,1,7,4,3,0,26,4,0,1,0,2,1,2,3,4,3,5,1,14,3,0,0,0,1,2,0,2,3,1,2,0,27,1,1,1,2,4,7,3,0,3,3,2,0,35,1,0,2,4,4,2,3,4,3,7,4,1
,,부상신고자수,5,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0
,옹진군,사고건수,4,,,,,,2,1,,1,,,,10,1,,,,2,2,,2,,1,1,1,9,,,,,3,1,2,,1,,1,1,4,,,1,,,1,2,,,,,,5,1,,,2,,1,,,,1,,
,,사망자수,0,,,,,,0,0,,0,,,,3,0,,,,0,1,,1,,1,0,0,3,,,,,1,0,0,,0,,1,1,1,,,0,,,0,1,,,,,,1,0,,,0,,1,,,,0,,
,,부상자수,4,,,,,,2,1,,1,,,,7,1,,,,2,1,,1,,0,1,1,6,,,,,2,1,2,,1,,0,0,3,,,1,,,1,1,,,,,,4,1,,,2,,0,,,,1,,
,,중상자수,3,,,,,,2,0,,1,,,,1,1,,,,0,0,,0,,0,0,0,3,,,,,1,1,1,,0,,0,0,1,,,0,,,0,1,,,,,,4,1,,,2,,0,,,,1,,
,,경상자수,1,,,,,,0,1,,0,,,,5,0,,,,2,0,,1,,0,1,1,1,,,,,1,0,0,,0,,0,0,2,,,1,,,1,0,,,,,,0,0,,,0,,0,,,,0,,
,,부상신고자수,0,,,,,,0,0,,0,,,,1,0,,,,0,1,,0,,0,0,0,2,,,,,0,0,1,,1,,0,0,0,,,0,,,0,0,,,,,,0,0,,,0,,0,,,,0,,
광주,합계,사고건수,987,68,53,78,81,80,71,77,82,103,109,96,89,981,89,64,82,86,91,57,105,64,87,97,90,69,941,73,68,84,90,78,60,97,73,65,88,81,84,1038,95,69,105,77,99,80,73,76,99,94,92,79,1137,88,61,88,92,102,104,92,102,77,125,105,101
,,사망자수,35,1,1,3,2,2,2,8,4,2,3,4,3,38,5,1,3,3,5,1,1,3,5,2,6,3,36,4,2,1,5,1,4,3,1,4,5,3,3,48,5,4,4,5,6,3,3,2,6,3,3,4,44,6,1,3,2,3,3,5,4,2,9,5,1
,,부상자수,1065,74,56,81,83,84,81,76,89,111,127,100,103,1049,91,74,89,93,95,59,114,70,90,112,92,70,1002,76,74,97,93,84,60,104,82,70,92,85,85,1126,106,75,114,75,109,87,77,82,105,111,106,79,1245,89,72,93,98,115,130,95,109,85,138,106,115
,,중상자수,359,22,22,25,29,28,26,35,28,37,47,32,28,346,28,23,23,35,40,16,39,19,33,38,31,21,327,22,32,25,37,19,25,29,24,17,26,36,35,382,34,29,32,17,32,33,28,33,42,42,34,26,360,25,22,23,30,29,32,23,27,24,49,32,44
,,경상자수,681,51,33,52,50,54,52,40,61,70,77,66,75,671,62,48,63,54,52,40,73,50,51,72,60,46,645,53,40,72,52,62,34,69,57,51,64,44,47,718,71,44,80,56,74,52,48,47,59,68,67,52,858,64,49,69,67,83,93,67,81,59,86,71,69
,,부상신고자수,25,1,1,4,4,2,3,1,0,4,3,2,0,32,1,3,3,4,3,3,2,1,6,2,1,3,30,1,2,0,4,3,1,6,1,2,2,5,3,26,1,2,2,2,3,2,1,2,4,1,5,1,27,0,1,1,1,3,5,5,1,2,3,3,2
,동구,사고건수,119,7,8,10,11,6,9,11,4,17,10,12,14,135,12,5,14,22,16,5,13,8,10,11,10,9,90,6,8,7,9,3,7,10,7,4,13,5,11,126,14,9,16,9,12,7,13,5,14,10,9,8,127,7,10,9,9,12,14,5,12,12,13,13,11
,,사망자수,3,0,0,0,0,0,0,2,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,1,1,0,4,1,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,부상자수,126,7,9,10,11,7,9,10,4,17,12,15,15,143,11,5,14,24,16,5,14,9,12,15,9,9,92,5,7,7,10,3,7,14,7,3,13,5,11,143,16,14,18,9,13,7,16,5,17,12,9,7,146,7,10,9,9,13,21,5,13,15,17,15,12
,,중상자수,45,2,5,2,4,2,2,7,3,4,3,5,6,48,2,1,4,6,10,1,4,2,4,6,4,4,40,4,6,3,5,0,2,5,3,0,5,2,5,55,5,6,5,6,2,4,5,4,8,6,1,3,48,3,4,1,2,2,5,3,5,5,7,5,6
,,경상자수,77,5,4,8,6,4,6,3,1,12,9,10,9,90,9,4,10,18,5,3,10,7,6,9,4,5,48,1,1,4,4,3,5,7,4,3,8,2,6,87,11,7,13,3,11,3,11,1,9,6,8,4,93,4,6,8,6,11,14,1,8,10,10,9,6
,,부상신고자수,4,0,0,0,1,1,1,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,2,0,1,0,4,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,1,0,0,0,1,0
,서구,사고건수,177,8,9,13,17,15,13,10,19,23,16,13,21,204,19,6,16,16,21,10,21,20,13,22,23,17,196,14,16,18,19,14,11,14,19,18,22,13,18,204,24,10,17,11,14,22,14,11,23,20,25,13,248,19,13,17,21,28,19,22,21,16,25,20,27
,,사망자수,8,0,0,0,1,0,0,1,2,2,1,0,1,4,0,0,0,1,1,1,0,0,0,0,1,0,9,1,0,0,1,1,2,1,0,1,0,1,1,7,1,0,0,1,0,2,0,0,0,1,1,1,5,2,0,0,0,0,1,1,0,0,1,0,0
,,부상자수,190,8,11,13,16,15,16,11,22,25,17,13,23,220,19,6,18,20,21,9,23,21,14,25,25,19,210,17,18,18,21,13,9,15,23,22,22,13,19,220,25,10,19,11,15,21,14,11,25,28,28,13,268,17,17,18,21,32,21,26,21,16,25,20,34
,,중상자수,67,1,4,5,4,6,7,4,7,8,8,7,6,73,7,4,7,12,11,0,6,4,8,6,4,4,68,6,4,7,5,4,6,4,5,6,6,5,10,76,10,7,5,2,5,5,4,5,11,8,10,4,67,7,2,3,6,3,7,5,4,4,6,8,12
,,경상자수,121,7,7,8,12,9,9,7,15,15,9,6,17,146,12,2,11,8,10,8,17,17,6,19,21,15,134,11,13,11,16,8,3,10,17,15,15,8,7,139,15,3,14,9,10,15,10,6,13,20,15,9,194,10,15,14,15,28,14,19,17,11,19,12,20
,,부상신고자수,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,1,0,1,1,1,1,0,2,5,0,0,0,0,0,1,0,0,1,0,3,0,7,0,0,1,0,1,0,2,0,1,0,0,2
,북구,사고건수,319,27,17,28,23,24,19,24,29,22,38,38,30,299,25,21,25,27,28,22,31,14,33,27,30,16,336,29,20,29,34,27,27,41,31,20,25,30,23,354,28,28,34,38,42,21,19,38,22,33,27,24,372,34,22,29,34,30,33,32,29,22,44,33,30
,,사망자수,13,1,1,1,0,1,0,4,0,0,2,2,1,16,3,0,1,2,2,0,1,2,2,1,1,1,8,1,0,1,0,0,1,1,1,1,2,0,0,14,1,3,0,3,3,0,1,1,1,1,0,0,15,1,0,0,1,1,0,3,2,0,3,3,1
,,부상자수,336,27,16,28,24,25,20,22,32,23,45,39,35,316,26,22,28,26,30,23,34,17,32,28,33,17,361,30,23,34,37,27,27,43,33,22,28,33,24,387,32,29,36,35,47,21,21,44,22,38,36,26,401,36,24,29,36,34,42,31,32,27,45,33,32
,,중상자수,105,7,6,11,5,6,6,7,11,8,16,13,9,98,6,9,6,8,10,7,12,4,10,8,12,6,110,9,10,5,16,3,8,11,12,8,6,14,8,114,10,5,8,5,13,11,7,15,8,13,12,7,107,10,9,8,10,10,7,5,8,7,13,7,13
,,경상자수,221,20,9,15,17,18,13,15,21,15,27,25,26,204,20,12,20,15,19,15,21,13,19,18,21,11,243,21,13,29,19,23,19,30,21,13,21,18,16,264,22,23,27,28,34,10,13,28,12,24,24,19,287,26,14,21,26,24,34,25,24,20,29,25,19
,,부상신고자수,10,0,1,2,2,1,1,0,0,0,2,1,0,14,0,1,2,3,1,1,1,0,3,2,0,0,8,0,0,0,2,1,0,2,0,1,1,1,0,9,0,1,1,2,0,0,1,1,2,1,0,0,7,0,1,0,0,0,1,1,0,0,3,1,0
,광산구,사고건수,204,15,11,14,16,20,16,14,17,23,28,16,14,207,20,20,12,13,14,13,26,18,19,18,16,18,177,11,16,18,14,15,7,21,8,13,19,21,14,214,16,10,25,10,22,17,13,18,25,19,19,20,259,22,11,25,13,25,25,22,25,17,29,27,18
,,사망자수,3,0,0,0,0,1,1,0,1,0,0,0,0,11,1,1,0,0,1,0,0,1,2,0,3,2,10,1,1,0,2,0,0,1,0,0,2,2,1,15,3,1,4,0,1,1,0,1,2,1,0,1,16,2,0,2,1,2,2,1,1,0,3,2,0
,,부상자수,232,20,11,16,18,21,19,14,19,27,31,16,20,221,20,23,15,14,16,15,28,19,21,20,14,16,193,11,16,24,12,22,9,21,9,14,19,22,14,222,16,10,25,11,23,20,14,18,27,19,19,20,289,24,15,30,15,29,28,22,28,17,35,26,20
,,중상자수,75,6,3,5,8,9,5,5,5,11,11,4,3,69,7,4,2,4,4,5,13,7,6,6,6,5,60,2,7,6,5,6,6,5,3,2,6,9,3,82,7,5,7,2,8,8,6,7,8,7,9,8,86,4,3,8,6,11,8,5,6,5,18,7,5
,,경상자수,153,13,8,10,10,12,14,8,14,16,19,12,17,143,13,17,12,9,11,10,14,11,15,14,8,9,125,8,8,18,7,15,3,15,6,12,13,10,10,137,9,5,18,9,14,12,8,10,18,12,10,12,198,20,12,22,9,17,19,16,22,11,17,18,15
,,부상신고자수,4,1,0,1,0,0,0,1,0,0,1,0,0,9,0,2,1,1,1,0,1,1,0,0,0,2,8,1,1,0,0,1,0,1,0,0,0,3,1,3,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,0,0,1,1,1,0,1,0,1,0
,남구,사고건수,168,11,8,13,14,15,14,18,13,18,17,17,10,136,13,12,15,8,12,7,14,4,12,19,11,9,142,13,8,12,14,19,8,11,8,10,9,12,18,140,13,12,13,9,9,13,14,4,15,12,12,14,131,6,5,8,15,7,13,11,15,10,14,12,15
,,사망자수,8,0,0,2,1,0,1,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,1,0,0,1,0,0,1,9,0,0,0,1,1,0,2,0,2,0,2,1,8,1,1,1,0,0,0,0,1,2,2,0,0
,,부상자수,181,12,9,14,14,16,17,19,12,19,22,17,10,149,15,18,14,9,12,7,15,4,11,24,11,9,146,13,10,14,13,19,8,11,10,9,10,12,17,154,17,12,16,9,11,18,12,4,14,14,14,13,141,5,6,7,17,7,18,11,15,10,16,12,17
,,중상자수,67,6,4,2,8,5,6,12,2,6,9,3,4,58,6,5,4,5,5,3,4,2,5,12,5,2,49,1,5,4,6,6,3,4,1,1,3,6,9,55,2,6,7,2,4,5,6,2,7,8,2,4,52,1,4,3,6,3,5,5,4,3,5,5,8
,,경상자수,109,6,5,11,5,11,10,7,10,12,13,13,6,88,8,13,10,4,7,4,11,2,5,12,6,6,95,12,5,10,6,13,4,7,9,8,7,6,8,91,14,6,8,7,5,12,6,2,7,6,10,8,86,4,2,4,11,3,12,6,10,7,11,7,9
,,부상신고자수,5,0,0,1,1,0,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,8,1,0,1,0,2,1,0,0,0,0,2,1,3,0,0,0,0,1,1,0,1,0,0,0,0
대전,합계,사고건수,786,57,46,57,58,72,52,61,80,72,92,82,57,929,60,46,60,65,71,63,87,90,104,94,98,91,1064,70,68,88,107,76,91,83,98,88,99,100,96,1099,80,72,82,81,100,103,88,92,98,108,97,98,1176,67,81,81,99,114,106,96,114,90,115,117,96
,,사망자수,41,7,4,2,5,0,2,3,4,2,2,6,4,36,5,4,4,0,2,3,2,3,4,4,3,2,38,3,4,3,2,3,5,2,2,3,2,4,5,27,3,2,1,0,2,3,1,3,3,2,3,4,34,5,4,5,2,5,2,2,1,4,3,0,1
,,부상자수,815,53,42,60,59,82,55,67,80,85,96,78,58,978,57,46,58,71,76,70,93,96,111,92,106,102,1130,72,72,102,112,79,95,90,105,93,104,106,100,1172,88,74,90,89,110,114,97,91,102,114,104,99,1285,68,85,83,103,121,133,109,123,94,120,135,111
,,중상자수,398,25,21,29,28,35,24,31,45,43,49,41,27,425,37,25,26,23,30,34,36,40,45,45,44,40,471,31,26,41,48,30,34,32,50,42,43,45,49,453,42,32,33,38,33,46,38,36,37,44,37,37,456,24,32,32,35,46,52,34,39,32,49,44,37
,,경상자수,404,27,19,31,28,47,30,35,33,40,47,37,30,536,19,20,29,47,46,35,56,55,63,47,60,59,622,40,45,59,60,47,54,55,51,46,57,57,51,676,43,40,54,49,74,62,56,44,63,66,64,61,789,42,52,48,68,74,75,74,77,57,67,85,70
,,부상신고자수,13,1,2,0,3,0,1,1,2,2,0,0,1,17,1,1,3,1,0,1,1,1,3,0,2,3,37,1,1,2,4,2,7,3,4,5,4,4,0,43,3,2,3,2,3,6,3,11,2,4,3,1,40,2,1,3,0,1,6,1,7,5,4,6,4
,동구,사고건수,174,15,7,13,10,18,11,14,21,19,18,14,14,229,10,19,15,10,18,14,21,18,27,25,29,23,226,15,21,15,26,8,20,24,20,22,19,20,16,203,19,12,15,13,21,16,14,16,23,15,22,17,279,21,13,18,20,31,35,22,29,15,31,21,23
,,사망자수,11,2,1,2,0,0,1,0,1,1,0,2,1,12,2,1,1,0,2,2,0,1,0,1,1,1,8,0,0,1,0,1,1,2,1,1,0,0,1,9,1,1,0,0,1,0,1,1,0,0,2,2,11,2,1,0,2,0,1,2,1,0,1,0,1
,,부상자수,175,13,6,13,10,20,12,14,21,19,19,14,14,244,9,20,14,10,18,17,25,20,28,26,29,28,248,17,22,17,27,7,26,26,24,25,20,21,16,215,20,12,16,14,22,19,14,15,25,19,23,16,313,22,12,20,18,32,56,25,30,16,36,22,24
,,중상자수,84,7,4,7,5,11,4,5,11,8,11,4,7,102,5,11,6,3,5,9,9,9,10,13,8,14,109,6,8,11,14,3,5,7,15,9,11,11,9,92,10,4,4,6,5,10,6,8,12,8,9,10,119,8,5,9,5,10,25,9,12,6,12,9,9
,,경상자수,87,6,1,6,4,9,8,8,10,10,8,10,7,138,4,9,7,7,13,8,15,11,18,13,20,13,131,10,13,6,12,4,17,18,9,16,9,10,7,121,9,8,12,8,17,9,8,6,13,11,14,6,189,14,6,10,13,22,30,16,17,9,24,13,15
,,부상신고자수,4,0,1,0,1,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,1,1,8,1,1,0,1,0,4,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,1,0,1,1,0,0,0
